checklist_id,title,GET_nominal,crew_role,step_number,action,expected_response,reference,audio_cue_complete
FP_2-5_LAUNCH,Liftoff Monitoring,000:00:00,Joint,1,Monitor ignition sequence,All five S-IC engines show stable chamber pressure,Flight Plan p. 2-5,
FP_2-5_LAUNCH,Liftoff Monitoring,000:00:00,Joint,2,Call roll program,Rocket rolls to 90° per guidance cue,Flight Plan p. 2-6,
FP_2-5_LAUNCH,Liftoff Monitoring,000:00:00,Joint,3,Confirm max-Q acknowledgement,Guidance reports GO at max dynamic pressure,Flight Plan p. 2-7,
FP_2-16_ORBIT,Orbit Verification,000:11:39,CMP,1,Read S-IVB orbit solution,Perigee 98 nm ±2 nm,Flight Plan p. 2-16,
FP_2-16_ORBIT,Orbit Verification,000:11:39,CMP,2,Confirm apogee from guidance,Apogee 118 nm ±2 nm,Flight Plan p. 2-16,
FP_2-16_ORBIT,Orbit Verification,000:11:39,CDR,3,Check S-IVB restart config,DCS switch positions match PAD,Flight Plan p. 2-17,
FP_3-10_TLI_PREP,Pre-TLI Housekeeping,002:35:00,Joint,1,Align IMU per P52,Platform torqued and gimbal angles nulled,Flight Plan p. 3-10,
FP_3-10_TLI_PREP,Pre-TLI Housekeeping,002:35:00,CMP,2,Load TLI PAD to AGC,Programs 11/12 updated with TIG and Δv,Flight Plan p. 3-11,
FP_3-10_TLI_PREP,Pre-TLI Housekeeping,002:35:00,CDR,3,Verify S-IVB ullage command,Ullage arm green,Flight Plan p. 3-12,
FP_3-12_TLI_EXEC,TLI Execution Monitor,002:44:14,Joint,1,Initiate Program 11,CSM throttle displays zero prior to ignition,Flight Plan p. 3-12,
FP_3-12_TLI_EXEC,TLI Execution Monitor,002:44:14,CMP,2,Start burn clock,Burn timer running,Flight Plan p. 3-13,
FP_3-12_TLI_EXEC,TLI Execution Monitor,002:44:14,CDR,3,Confirm shutdown cue,Δv achieved within ±0.2 ft/s,Flight Plan p. 3-14,
FP_3-18_TD,Transposition Docking,003:20:00,CMP,1,Separation maneuver completed,S-IVB clearance achieved,Flight Plan p. 3-18,
FP_3-18_TD,Transposition Docking,003:20:00,CDR,2,Perform docking approach,LM capture latches engage,Flight Plan p. 3-19,
FP_3-18_TD,Transposition Docking,003:20:00,Joint,3,Extract LM from SLA,LM hard docked and clear of panels,Flight Plan p. 3-20,
FP_4-04_PTC,Passive Thermal Control,004:45:00,CMP,1,Select roll attitude,PITCH 0° YAW 0° per Flight Plan,Flight Plan p. 4-4,
FP_4-04_PTC,Passive Thermal Control,004:45:00,CDR,2,Initiate roll thruster pulses,Roll rate trending to 0.3°/s,Flight Plan p. 4-5,
FP_4-04_PTC,Passive Thermal Control,004:45:00,Joint,3,Verify thermal trending,Cryo tank boiloff stabilizing,Flight Plan p. 4-6,
FP_4-06_PTC_MON,PTC Roll Monitoring,004:50:00,Joint,1,Verify roll rate trending to 0.3°/s,Rate meter 0.30°/s ±0.05°/s,Flight Plan p. 4-6,
FP_5-18_PTC_LONG,Extended PTC Trend Check,034:00:00,CMP,1,Review cryogenic tank temperatures,Trends within ±2°F,Flight Plan p. 5-18,
FP_5-18_PTC_LONG,Extended PTC Trend Check,034:00:00,CDR,2,Confirm roll rate stability,Rate 0.30°/s ±0.05°/s,Flight Plan p. 5-18,
FP_5-18_PTC_LONG,Extended PTC Trend Check,034:00:00,Joint,3,Log thermal trend to onboard recorder,Entry captured for downlink,Flight Plan p. 5-18,
FP_5-20_CONS_LOG2,Extended Consumables Status,035:00:00,CMP,1,Read fuel cell currents,Currents balanced within ±5 A,Flight Plan p. 5-20,
FP_5-20_CONS_LOG2,Extended Consumables Status,035:00:00,CDR,2,Check cryogenic quantity gauges,Quantities within PAD band,Flight Plan p. 5-20,
FP_5-20_CONS_LOG2,Extended Consumables Status,035:00:00,Joint,3,Record cabin CO₂ level,mmHg trending nominal,Flight Plan p. 5-20,
FP_6-02_MCC3_PAD,MCC-3 PAD Review,053:00:00,CMP,1,Read MCC-3 PAD with MCC,Key TIG/Δv elements confirmed,Flight Plan p. 6-2,
FP_6-02_MCC3_PAD,MCC-3 PAD Review,053:00:00,CDR,2,Load PAD parameters into AGC,Program 37 updated,Flight Plan p. 6-3,
FP_6-02_MCC3_PAD,MCC-3 PAD Review,053:00:00,Joint,3,Copy PAD to DSE log,PAD archived for playback,Flight Journal Day 3 053:20 GET,
FP_6-04_MCC3_EVAL,MCC-3 Evaluation,053:50:00,CMP,1,Compare tracking residuals to limits,Residuals within decision band,Flight Plan p. 6-4,
FP_6-04_MCC3_EVAL,MCC-3 Evaluation,053:50:00,CDR,2,Report go/no-go to MCC,MCC acknowledges decision,Flight Journal Day 3 053:50 GET,
FP_6-04_MCC3_EVAL,MCC-3 Evaluation,053:50:00,Joint,3,Annotate platform drift estimate,Entry recorded in log,Flight Plan p. 6-5,
FP_6-06_MCC3_EXEC,MCC-3 Execution,055:00:00,CMP,1,Set SPS gimbal trim per PAD,Trim values match PAD,Flight Plan p. 6-6,
FP_6-06_MCC3_EXEC,MCC-3 Execution,055:00:00,CDR,2,Monitor SPS burn parameters,Δv within ±0.3 ft/s,Flight Plan p. 6-7,
FP_6-06_MCC3_EXEC,MCC-3 Execution,055:00:00,Joint,3,Log post-burn residuals,Residuals <0.2 ft/s,Flight Journal Day 3 055:05 GET,
FP_6-08_P52_LOI,P52 Realignment for LOI,066:00:00,CMP,1,Initiate P52 Option 3,Star pair accepted,Flight Plan p. 6-8,
FP_6-08_P52_LOI,P52 Realignment for LOI,066:00:00,CDR,2,Verify IMU torquing complete,Angles nulled,Flight Plan p. 6-8,
FP_6-08_P52_LOI,P52 Realignment for LOI,066:00:00,Joint,3,Record coarse alignment delta,Entry transmitted to MCC,Flight Plan p. 6-9,
FP_6-10_MCC4_PAD,MCC-4 PAD Review,070:00:00,CMP,1,Read MCC-4 PAD with MCC,TIG/Δv verified,Flight Plan p. 6-10,
FP_6-10_MCC4_PAD,MCC-4 PAD Review,070:00:00,CDR,2,Load PAD parameters into AGC,Program 37 updated,Flight Plan p. 6-10,
FP_6-10_MCC4_PAD,MCC-4 PAD Review,070:00:00,Joint,3,Record MCC-4 requirement status,Go/skip logged for shift handover,Flight Journal Day 3 070:10 GET,
FP_6-12_MCC4_EXEC,MCC-4 Execution,071:10:00,CMP,1,Align CSM to PAD attitude,Attitude within ±2°,Flight Plan p. 6-12,
FP_6-12_MCC4_EXEC,MCC-4 Execution,071:10:00,CDR,2,Pulse SPS per PAD timing,Δv near 1.5 ft/s,Mission Operations Report Sec. 3.4,
FP_6-12_MCC4_EXEC,MCC-4 Execution,071:10:00,Joint,3,Report burn residual to MCC,Residual <0.2 ft/s,Flight Journal Day 3 071:12 GET,
FP_6-14_LOI_PAD,LOI-1 PAD Review,072:30:00,CMP,1,Read LOI-1 PAD with MCC,TIG/Δv verified,Flight Plan p. 6-14,
FP_6-14_LOI_PAD,LOI-1 PAD Review,072:30:00,CDR,2,Load LOI target into Program 41,AGC target accepted,Flight Plan p. 6-15,
FP_6-14_LOI_PAD,LOI-1 PAD Review,072:30:00,Joint,3,Archive PAD copy to DSE,Entry tagged for playback,Flight Journal Day 3 072:40 GET,
FP_6-16_LOI_CONFIG,LOI-1 Configuration,073:30:00,CDR,1,Arm SPS banks and talkback,Indicators bright,Flight Plan p. 6-16,
FP_6-16_LOI_CONFIG,LOI-1 Configuration,073:30:00,CMP,2,Configure RCS for ullage,QSMC in AUTO,Flight Plan p. 6-16,
FP_6-16_LOI_CONFIG,LOI-1 Configuration,073:30:00,Joint,3,Verify LM tunnel secure,Latching indicators closed,Flight Journal Day 3 073:30 GET,
FP_6-18_LOI1_EXEC,LOI-1 Execution Monitor,075:49:50,CMP,1,Start burn clock,Burn timer running,Flight Plan p. 6-18,
FP_6-18_LOI1_EXEC,LOI-1 Execution Monitor,075:49:50,CDR,2,Monitor SPS chamber pressure,Chamber pressure nominal,Flight Journal Day 4 075:50 GET,
